,lower_bound,upper_bound
TAU_data,-98.47862854,671.9238390503378
subject_age,51.101571202762315,94.64241439147538
Ventricles,-27145.40207,111488.91839291641
Hippocampus,3070.3752762371696,10433.96150592905
WholeBrain,680604.8749597732,1346053.4112888516
Entorhinal,987.6326533633978,6120.5435177160325
Fusiform,8930.411846,25693.10470195099
MidTemp,10037.345003749055,28777.614263053387
ICV,1007825.0712592078,2037697.0662990797
ADNI_MEM,-3.31908269,3.966936642178734
ADNI_EF2,-3.186350359,3.300241131385509
