time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range
8192,7.0,-11.3693668,,,,,,,,,,,,,,,
8192,,,2.23,1,74,110,-9.03077145,,,,,,,,,,
16384,14.6,12.0084304,,,,,,-11.721486933529377,0.014744758605957031,-0.0691938364689122,17.56877027116716,0.08806934,6.567452907562256,10,0.5879150390625,0.0003,0.2
16384,,,2.98,2,178,91,-8.043401150000001,,,,,,,,,,
24576,14.1,8.737734,,,,,,-11.551773948967456,0.14765024185180664,-0.05203373469303187,13.50552890971303,0.05652349,4.6751909255981445,20,0.483349609375,0.0003,0.2
24576,,,3.6,3,300,81,-5.384497900000001,,,,,,,,,,
32768,11.0,10.817795499999999,,,,,,-11.40406113266945,0.1917123794555664,-0.038131909282310514,19.328336715698242,0.04751969,5.550168991088867,30,0.38277587890625,0.0003,0.2
32768,,,5.68,4,455,71,-4.5561479600000006,,,,,,,,,,
40960,5.8,2.7822725,,,,,,-11.271459916234017,0.3930917978286743,-0.028868647546187277,17.253269062936305,0.031720374,6.812738418579102,40,0.31676025390625,0.0003,0.2
40960,,,5.61,5,600,68,-4.88470638,,,,,,,,,,
49152,9.3,5.6935875000000005,,,,,,-11.148515882343053,0.5112267732620239,-0.02570112679459271,15.352125478163362,0.028725736,8.745725631713867,50,0.3013671875,0.0003,0.2
49152,,,5.88,6,763,64,-4.877919149999999,,,,,,,,,,
57344,17.6,16.417403099999998,,,,,,-11.0384258069098,0.5905220806598663,-0.022769993804649856,13.130671944841742,0.026460702,7.9096574783325195,60,0.31080322265625,0.0003,0.2
57344,,,8.65,7,926,61,-3.64737393,,,,,,,,,,
65536,10.3,-1.1412827,,,,,,-10.921545980870723,0.6442499458789825,-0.023154292807885214,11.37280727252364,0.02852603,3.2474210262298584,70,0.31878662109375,0.0003,0.2
65536,,,7.74,8,1096,59,-2.3898150900000004,,,,,,,,,,
73728,18.6,20.7410409,,,,,,-10.831816754490138,0.716166228055954,-0.021698077180190012,10.083094926550984,0.025887597,3.245631456375122,80,0.31083984375,0.0003,0.2
73728,,,8.6,9,1266,58,-2.1508531,,,,,,,,,,
81920,13.1,15.3947925,,,,,,-10.722267513722182,0.7257461547851562,-0.020864190174324903,9.186787647008895,0.028004745,3.4284162521362305,90,0.305859375,0.0003,0.2
81920,,,9.28,10,1434,57,-1.5030057799999996,,,,,,,,,,
90112,19.4,10.5759762,,,,,,-10.63051238656044,0.7249309420585632,-0.019615605276703717,8.702434131130577,0.026193889,4.010153293609619,100,0.310791015625,0.0003,0.2
90112,,,10.87,11,2462,36,0.30125917999999996,,,,,,,,,,
98304,11.3,8.7503866,,,,,,-10.48213887438178,0.7548505067825317,-0.020540874684229493,7.008716483041644,0.028148659,2.862659215927124,110,0.318701171875,0.0003,0.2
98304,,,12.47,12,2636,37,1.7519757599999997,,,,,,,,,,
106496,19.3,22.5993496,,,,,,-10.38503863438964,0.7564342767000198,-0.02175068547585397,6.807098329439759,0.02950424,2.6430299282073975,120,0.30274658203125,0.0003,0.2
106496,,,10.83,13,2804,37,0.9286591499999999,,,,,,,,,,
114688,15.0,16.545946,,,,,,-10.278576189279557,0.7528357207775116,-0.020673967898983393,6.80291724903509,0.02750019,1.6405653953552246,130,0.30035400390625,0.0003,0.2
114688,,,12.04,14,2970,38,3.5735183099999994,,,,,,,,,,
122880,12.8,12.6332209,,,,,,-10.202238021045924,0.7662141621112823,-0.02143702771536482,6.449686225876212,0.033368662,1.2359721660614014,140,0.31456298828125,0.0003,0.2
122880,,,11.75,15,3138,39,1.75034628,,,,,,,,,,
131072,13.8,17.0073243,,,,,,-10.074426038563251,0.7477998435497284,-0.019028088999766622,5.856057487800717,0.027062267,1.4064456224441528,150,0.30262451171875,0.0003,0.2
131072,,,13.51,16,3302,39,4.42693881,,,,,,,,,,
139264,12.7,11.4030407,,,,,,-9.992370603978634,0.7775747925043106,-0.02115802800453821,5.457106780353934,0.031301882,1.8773261308670044,160,0.3072998046875,0.0003,0.2
139264,,,13.59,17,3470,40,5.772649069999999,,,,,,,,,,
147456,11.4,8.870714000000001,,,,,,-9.89891131222248,0.7949218600988388,-0.019692401517022517,5.296987350285053,0.027757842,2.3103790283203125,170,0.3103515625,0.0003,0.2
147456,,,12.89,18,3643,40,3.29744533,,,,,,,,,,
155648,16.1,21.270406100000002,,,,,,-9.758371031284332,0.7952212393283844,-0.02579650939696876,4.990020554419607,0.031138109,1.146139144897461,180,0.31217041015625,0.0003,0.2
155648,,,17.1,19,3810,40,10.04117064,,,,,,,,,,
163840,17.2,18.6419405,,,,,,-9.607698842138053,0.801385298371315,-0.017756758319592336,5.201257562823594,0.030713396,3.0820095539093018,190,0.31346435546875,0.0003,0.2
163840,,,17.03,20,3981,41,8.20065645,,,,,,,,,,
172032,15.8,14.285409300000001,,,,,,-9.447282364964485,0.773461326956749,-0.020972298692140613,5.582311606965959,0.029576618,1.2058252096176147,200,0.3112060546875,0.0003,0.2
172032,,,15.61,21,4161,41,5.7213769700000014,,,,,,,,,,
180224,17.7,21.688022599999996,,,,,,-9.353707655519248,0.7977683246135712,-0.02176728385820752,5.435400917660445,0.03045817,1.6537870168685913,210,0.30228271484375,0.0003,0.2
180224,,,16.43,22,4359,41,7.164950430000001,,,,,,,,,,
188416,13.5,18.3201695,,,,,,-9.220855662226677,0.8225414156913757,-0.019200722993264207,4.859353026840836,0.0281022,1.043233871459961,220,0.29873046875,0.0003,0.2
188416,,,14.22,23,4539,41,4.623791,,,,,,,,,,
196608,19.5,20.057519300000003,,,,,,-9.153715369850397,0.8139057904481888,-0.01888739341902692,4.553973731026053,0.032777067,0.9732726216316223,230,0.31041259765625,0.0003,0.2
196608,,,15.27,24,4712,41,4.82246878,,,,,,,,,,
204800,11.4,3.5962378999999998,,,,,,-9.025364404171706,0.8010551184415817,-0.021117026452338906,4.613652455992996,0.02950509,1.6840307712554932,240,0.30357666015625,0.0003,0.2
204800,,,16.41,25,4905,41,8.31140209,,,,,,,,,,
212992,18.7,8.3406302,,,,,,-8.89062522277236,0.7900544852018356,-0.023029320217392523,4.876949831657112,0.03374934,1.5035548210144043,250,0.31292724609375,0.0003,0.2
212992,,,14.1,26,5075,41,5.872073770000001,,,,,,,,,,
221184,19.8,20.6751382,,,,,,-8.848262470215559,0.8317433893680573,-0.02361127213007421,4.077431998122483,0.031377885,1.4039121866226196,260,0.3146484375,0.0003,0.2
221184,,,15.82,27,5252,42,8.624673910000002,,,,,,,,,,
229376,17.1,20.3001604,,,,,,-8.780140180885791,0.8088662177324295,-0.021875073480623543,3.941565585602075,0.03317759,2.9601809978485107,270,0.322314453125,0.0003,0.2
229376,,,16.14,28,5424,42,7.438681880000001,,,,,,,,,,
237568,18.1,15.844713899999999,,,,,,-8.64086335748434,0.864008367061615,-0.020548340534151065,3.2646961223334072,0.029624926,1.019576072692871,280,0.31805419921875,0.0003,0.2
237568,,,15.01,29,5596,42,7.09304889,,,,,,,,,,
245760,16.4,14.740241999999999,,,,,,-8.571109110862016,0.8289974182844162,-0.023339788941302685,3.785516206547618,0.033244178,0.8674821853637695,290,0.2986328125,0.0003,0.2
245760,,,15.84,30,5758,42,9.52177464,,,,,,,,,,
