episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem
1,-11.680866894832668,2,-0.07131314,-0.884,-0.95531315
2,-6.2291355126798145,2,0.15998423,-1.667,-1.5070158
3,-10.0,1,0.0,-0.835,-0.835
4,0.0,2,0.4538536,2.057,2.5108535
5,-10.0,1,0.0,1.153,1.153
6,-10.0,1,0.0,-0.038,-0.038
7,-7.35691071939897,3,0.11213678,-0.638,-0.52586323
8,0.0,1,0.0,-1.04,-1.04
9,-10.0,1,0.0,-0.063,-0.063
10,-10.0,1,0.0,1.066,1.066
11,-2.8295229453627897,4,0.30421758,1.447,1.7512176
12,-10.0,1,0.0,-0.477,-0.477
13,-8.380969556407566,2,0.068689644,0.95,1.0186896
14,-10.0,1,0.0,1.043,1.043
15,-2.307326411938993,3,0.34013164,1.441,1.7811316
16,-10.0,1,0.0,0.013,0.013
17,-3.009657171003399,2,0.29657513,0.431,0.7275751
18,-10.0,1,0.0,0.479,0.479
19,-10.0,1,0.0,-1.241,-1.241
20,0.45556399049558394,5,0.443592,0.353,0.796592
21,-10.0,1,0.0,0.418,0.418
22,-8.697551394312296,2,0.055258214,0.899,0.9542582
23,-7.015798010765949,2,0.12660897,1.223,1.349609
24,-10.0,1,0.0,1.191,1.191
25,-6.079489614804509,2,0.16633317,-0.62,-0.45366684
26,-3.6015260670893596,3,0.27146426,0.162,0.43346426
27,-10.0,1,0.0,2.347,2.347
28,-2.8668313356646324,3,0.30263472,1.684,1.9866347
29,-10.0,1,0.0,0.369,0.369
30,-10.0,1,0.0,-0.602,-0.602
31,-10.0,1,0.0,0.807,0.807
32,-9.857560510772583,2,0.0060431957,1.914,1.9200432
33,-1.7650073484685844,3,0.34938115,0.61,0.95938116
34,-10.0,1,0.0,0.898,0.898
35,-10.0,1,0.0,1.235,1.235
36,-11.761116601739834,2,-0.07471785,0.498,0.42328215
37,-12.29009537537279,2,-0.09716052,0.826,0.72883946
38,-4.573944477959984,2,0.23020804,-1.611,-1.3807919
39,-10.0,1,0.0,-0.911,-0.911
40,-5.877670133157568,2,0.17489564,1.013,1.1878957
41,-11.26486626087054,2,-0.05366373,-0.547,-0.6006637
42,-22.272645987478086,5,-0.52068424,0.773,0.25231573
43,-5.503071753382642,2,0.19078851,1.694,1.8847885
44,-10.0,1,0.0,0.648,0.648
45,4.573048264817933,3,0.6623163,1.234,1.8963163
46,-12.51804520064901,2,-0.10683161,1.095,0.9881684
47,-10.0,1,0.0,1.532,1.532
48,-3.9495023900023796,4,0.25670087,-0.989,-0.73229915
49,-10.0,1,0.0,0.487,0.487
50,-6.926436857658201,2,0.13040024,0.559,0.68940026
