policy,episode,step,violation_type,action
PPO,6,3,no_medication_with_other_actions,[0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.]
PPO,9,5,no_medication_with_other_actions,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.]
PPO,11,0,no_medication_with_other_actions,[1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0.]
PPO,21,5,no_medication_with_other_actions,[0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1.]
PPO,32,6,no_medication_with_other_actions,[0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0.]
PPO,36,7,no_medication_with_other_actions,[0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1.]
PPO,37,0,no_medication_with_other_actions,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1.]
PPO,38,0,no_medication_with_other_actions,[0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1.]
PPO,41,12,no_medication_with_other_actions,[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1.]
PPO,42,0,no_medication_with_other_actions,[0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0.]
PPO,47,1,no_medication_with_other_actions,[1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0.]
PPO,52,1,no_medication_with_other_actions,[0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.]
PPO,55,0,no_medication_with_other_actions,[0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1.]
PPO,64,1,no_medication_with_other_actions,[1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1.]
PPO,69,11,no_medication_with_other_actions,[1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0.]
PPO,71,1,no_medication_with_other_actions,[0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.]
PPO,90,0,no_medication_with_other_actions,[1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.]
PPO,93,3,no_medication_with_other_actions,[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1.]
