policy,episode,step,variables
PPO,2,18,"[{'variable': 'Ventricles', 'value': 111901.5, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,4,2,"[{'variable': 'Ventricles', 'value': 117098.1015625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,7,11,"[{'variable': 'Ventricles', 'value': 112509.8046875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,13,13,"[{'variable': 'Ventricles', 'value': 111727.609375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,30,12,"[{'variable': 'MidTemp', 'value': 10007.4990234375, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
PPO,31,5,"[{'variable': 'Ventricles', 'value': 113810.6796875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,44,16,"[{'variable': 'Ventricles', 'value': 111548.84375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,72,2,"[{'variable': 'Ventricles', 'value': 113275.671875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,74,11,"[{'variable': 'Entorhinal', 'value': 960.754638671875, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
PPO,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,97,0,"[{'variable': 'Ventricles', 'value': 115461.2578125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,3,7,"[{'variable': 'Fusiform', 'value': 8904.732421875, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
SAC,4,1,"[{'variable': 'Ventricles', 'value': 113455.546875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,7,13,"[{'variable': 'Ventricles', 'value': 114061.265625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,11,13,"[{'variable': 'Ventricles', 'value': 113876.3125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,13,12,"[{'variable': 'ICV', 'value': 2067600.25, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
SAC,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,26,13,"[{'variable': 'ADNI_MEM', 'value': 4.042942047119141, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,30,18,"[{'variable': 'MidTemp', 'value': 10035.171875, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
SAC,31,7,"[{'variable': 'Ventricles', 'value': 112713.640625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,43,13,"[{'variable': 'ADNI_MEM', 'value': 4.013311386108398, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,49,9,"[{'variable': 'ADNI_MEM', 'value': 3.9888505935668945, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,72,3,"[{'variable': 'Ventricles', 'value': 112608.1015625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,74,4,"[{'variable': 'Entorhinal', 'value': 968.1062622070312, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
SAC,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,90,13,"[{'variable': 'Ventricles', 'value': 112662.78125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,97,0,"[{'variable': 'Ventricles', 'value': 118469.7578125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}, {'variable': 'ICV', 'value': 2053620.5, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
A2C,0,0,"[{'variable': 'WholeBrain', 'value': 1349142.375, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
A2C,2,15,"[{'variable': 'Ventricles', 'value': 113173.2421875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,3,2,"[{'variable': 'Fusiform', 'value': 8894.7294921875, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
A2C,4,1,"[{'variable': 'Ventricles', 'value': 115008.5078125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,7,10,"[{'variable': 'Ventricles', 'value': 112043.6640625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,9,6,"[{'variable': 'TAU_data', 'value': 678.3629150390625, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
A2C,11,13,"[{'variable': 'Ventricles', 'value': 113651.7578125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,13,16,"[{'variable': 'Ventricles', 'value': 113302.3125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,21,5,"[{'variable': 'TAU_data', 'value': 677.5948486328125, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
A2C,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,30,4,"[{'variable': 'MidTemp', 'value': 9748.958984375, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
