time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
4,0,49,12,-6.83789,3.0,,,,,,,
8,0,64,20,-11.991729124999999,2.5,,,,,,,
12,0,75,30,-10.424234666666665,2.5,,,,,,,
16,0,83,36,-9.9369991875,2.25,,,,,,,
20,0,88,42,-9.43340415,2.1,,,,,,,
24,0,94,50,-9.392569,2.0833333333333335,,,,,,,
28,0,98,58,-8.970196821428571,2.0714285714285716,,,,,,,
32,0,96,67,-8.6461865,2.09375,,,,,,,
36,0,99,75,-8.346661055555556,2.0833333333333335,,,,,,,
40,0,102,79,-8.51199495,1.975,,,,,,,
44,0,104,88,-8.398609772727275,2.0,,,,,,,
48,0,106,93,-8.418060833333334,1.9375,,,,,,,
52,1,103,108,-8.663241038461539,2.076923076923077,,,,,,,
56,1,105,112,-8.758723821428571,2.0,,,,,,,
60,1,107,116,-8.841475566666666,1.9333333333333333,,,,,,,
64,1,108,130,-8.663323046875,2.03125,,,,,,,
68,1,109,138,-8.620861647058822,2.0294117647058822,,,,,,,
72,1,109,148,-8.70903125,2.0555555555555554,,,,,,,
76,1,110,161,-8.80764657894737,2.1184210526315788,,,,,,,
80,1,101,177,-8.512992624999999,2.2125,,,,,,,
84,1,102,187,-8.416235369047618,2.2261904761904763,,,,,,,
88,1,103,197,-8.276350659090909,2.2386363636363638,,,,,,,
92,1,103,207,-8.299848804347826,2.25,,,,,,,
96,2,104,213,-8.388439968750001,2.21875,,,,,,,
100,2,103,222,-8.18674885,2.22,,,,,,,
104,2,104,234,-8.158846610000001,2.22,,,,,,,
108,2,105,246,-7.853584299999999,2.26,,,,,,,
112,2,103,254,-7.93209883,2.24,,,,,,,
116,2,104,258,-7.99308712,2.22,,,,,,,
120,2,105,269,-8.04253779,2.27,,,,,,,
124,2,105,278,-8.020559729999999,2.28,,,,,,,
128,2,106,289,-8.113925400000001,2.31,,,,,,,
132,2,107,296,-8.132523630000001,2.29,,,,,,,
136,2,107,304,-8.217370289999998,2.29,,,,,,,
140,2,108,312,-8.24316884,2.33,,,,,,,
144,2,109,316,-8.35257852,2.28,,,,,,,
148,2,109,322,-8.40546272,2.29,,,,,,,
152,3,109,334,-8.41830448,2.26,,,,,,,
156,3,110,342,-8.31893745,2.3,,,,,,,
160,3,110,353,-8.33367965,2.37,,,,,,,
164,3,111,363,-8.500395300000001,2.33,,,,,,,
168,3,111,372,-8.55202018,2.34,,,,,,,
172,3,111,381,-8.19741536,2.33,,,,,,,
176,3,112,387,-8.127620170000002,2.26,,,,,,,
180,3,112,400,-8.47208506,2.23,,,,,,,
184,3,112,410,-8.54990223,2.23,,,,,,,
188,3,113,417,-8.72722008,2.2,,,,,,,
192,3,113,425,-8.84313026,2.18,,,,,,,
196,3,114,429,-8.82608879,2.16,,,,,,,
200,3,114,436,-8.974203289999998,2.14,,,,,,,
204,3,114,444,-9.05495178,2.1,,,,,,,
208,3,114,456,-9.077311689999998,2.1,,,,,,,
212,4,114,461,-8.965561169999999,2.07,,,,,,,
216,4,114,469,-8.90481721,2.11,,,,,,,
220,4,112,480,-8.89710175,2.11,,,,,,,
224,4,111,491,-8.87380597,2.13,,,,,,,
228,4,112,498,-8.7973398,2.09,,,,,,,
232,4,112,507,-8.89051819,2.11,,,,,,,
236,4,112,515,-9.06702307,2.11,,,,,,,
240,4,112,528,-9.18334599,2.16,,,,,,,
244,4,113,533,-9.135706059999999,2.17,,,,,,,
248,4,113,537,-9.03754096,2.15,,,,,,,
252,4,113,543,-8.86845777,2.09,,,,,,,
256,4,114,549,-8.94950147,2.07,,,,,,,
260,4,114,562,-8.80318756,2.09,,,,,,,
264,4,114,569,-8.82748439,2.06,,,,,,,
268,5,114,576,-8.865181230000001,2.04,,,,,,,
272,5,114,583,-9.29288556,2.02,,,,,,,
276,5,115,594,-9.24927123,2.07,,,,,,,
280,5,115,602,-9.07172958,2.02,,,,,,,
284,5,112,621,-9.1517923,2.11,,,,,,,
288,5,113,629,-9.274338120000001,2.12,,,,,,,
292,5,113,642,-9.14338058,2.17,,,,,,,
296,5,113,647,-9.09998537,2.18,,,,,,,
300,5,113,658,-9.272105669999998,2.22,,,,,,,
304,5,113,667,-9.291769409999999,2.23,,,,,,,
308,5,113,673,-9.33520571,2.17,,,,,,,
312,5,113,681,-9.31840406,2.2,,,,,,,
316,5,114,685,-9.37914802,2.16,,,,,,,
320,6,114,691,-9.47432689,2.11,,,,,,,
324,6,115,695,-9.552065,2.04,,,,,,,
328,6,115,700,-9.64506033,2.02,,,,,,,
332,6,114,714,-9.81518637,2.07,,,,,,,
336,6,115,722,-9.66244287,2.07,,,,,,,
340,6,115,731,-9.393171440000001,2.03,,,,,,,
344,6,115,737,-9.36663025,2.04,,,,,,,
348,6,115,742,-9.409216090000001,2.05,,,,,,,
352,6,116,747,-9.50087788,2.04,,,,,,,
356,6,115,759,-9.503580180000002,2.1,,,,,,,
360,6,115,772,-9.62050433,2.1,,,,,,,
364,6,115,778,-9.52852588,2.09,,,,,,,
368,6,116,785,-9.55046053,2.09,,,,,,,
372,6,116,795,-9.43052926,2.12,,,,,,,
376,6,116,800,-9.48738886,2.06,,,,,,,
380,6,116,809,-9.55351692,2.07,,,,,,,
384,7,116,820,-9.8081365,1.99,,,,,,,
388,7,117,827,-9.626062130000001,1.98,,,,,,,
392,7,117,834,-9.549872569999998,1.92,,,,,,,
396,7,117,840,-9.543445429999998,1.93,,,,,,,
400,7,117,854,-9.332326729999998,1.96,,,,,,,
404,7,117,863,-9.43080758,1.96,,,,,,,
408,7,117,868,-9.41070467,1.95,,,,,,,
412,7,118,872,-9.569172479999999,1.91,,,,,,,
416,7,118,881,-9.52697683,1.96,,,,,,,
420,7,118,886,-9.46839677,1.95,,,,,,,
424,7,118,894,-9.34514765,1.99,,,,,,,
428,7,118,899,-9.337865659999999,1.99,,,,,,,
432,7,119,910,-9.064608309999999,1.96,,,,,,,
436,7,118,918,-9.07988758,1.96,,,,,,,
440,7,118,924,-9.16411933,1.93,,,,,,,
444,7,118,931,-9.13979706,1.94,,,,,,,
448,7,118,939,-9.203566539999999,1.97,,,,,,,
452,7,119,944,-9.16578161,1.97,,,,,,,
456,7,119,948,-9.181402639999998,1.89,,,,,,,
460,7,119,953,-9.11070618,1.81,,,,,,,
464,7,119,958,-9.07882837,1.8,,,,,,,
468,8,119,966,-8.914972,1.81,,,,,,,
472,8,120,973,-8.97513845,1.78,,,,,,,
476,8,120,980,-8.99718368,1.8,,,,,,,
480,8,120,985,-9.0192032,1.76,,,,,,,
484,8,120,989,-8.74746012,1.69,,,,,,,
488,8,121,995,-8.80661763,1.68,,,,,,,
492,8,121,1000,-8.922103420000001,1.66,,,,,,,
496,8,121,1006,-8.88839983,1.66,,,,,,,
500,8,121,1013,-9.04605223,1.59,,,,,,,
504,8,121,1022,-8.99589968,1.59,,,,,,,
508,8,121,1028,-9.04663214,1.6,,,,,,,
512,8,121,1039,-9.039982179999999,1.67,,,,,,,
516,8,121,1049,-9.09046291,1.68,,,,,,,
520,8,121,1055,-9.11957256,1.69,,,,,,,
524,8,122,1061,-9.20300185,1.67,,,,,,,
528,8,122,1072,-9.18919414,1.73,,,,,,,
532,8,122,1082,-9.14301568,1.72,,,,,,,
536,8,122,1087,-9.149077929999999,1.69,,,,,,,
540,8,122,1092,-9.181073609999999,1.68,,,,,,,
544,8,122,1101,-9.170474379999998,1.7,,,,,,,
548,9,122,1107,-9.17414868,1.68,,,,,,,
552,9,123,1113,-9.17567782,1.69,,,,,,,
556,9,123,1120,-9.08710512,1.72,,,,,,,
560,9,123,1128,-9.0568424,1.75,,,,,,,
564,9,123,1138,-9.05561689,1.8,,,,,,,
568,9,123,1143,-9.064945139999999,1.77,,,,,,,
572,9,123,1150,-9.03167851,1.77,,,,,,,
576,9,123,1158,-8.977212770000001,1.78,,,,,,,
580,9,123,1163,-8.97280573,1.78,,,,,,,
584,9,123,1167,-8.87280573,1.78,,,,,,,
588,9,123,1177,-8.609144359999998,1.82,,,,,,,
