episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem
1,-10.0,1,0.0,0.084,0.084
2,-10.0,1,0.0,2.71,2.71
3,-10.358531649898834,3,-0.01521121,0.252,0.2367888
4,-2.219621520141443,2,0.3300935,-1.617,-1.2869065
5,-10.0,1,0.0,-1.951,-1.951
6,-6.073046064114669,2,0.16660655,1.159,1.3256066
7,-10.0,1,0.0,1.143,1.143
8,0.0,1,0.0,-2.707,-2.707
9,-10.0,1,0.0,0.022,0.022
10,0.26481718839993107,4,0.4354993,1.255,1.6904993
11,-3.7483551505891866,2,0.26523483,1.628,1.8932348
12,-10.0,1,0.0,2.405,2.405
13,-10.0,1,0.0,0.18,0.18
14,-10.0,1,0.0,1.349,1.349
15,-9.606325956589044,2,0.016702175,-0.76,-0.7432978
16,-10.154959913025055,2,-0.0065743923,0.658,0.6514256
17,-14.370352831169441,3,-0.18541837,-1.845,-2.0304184
18,-9.788724170442165,3,0.008963674,0.22,0.22896367
19,-10.0,1,0.0,-0.778,-0.778
20,-10.0,1,0.0,2.093,2.093
21,-11.245644488159671,3,-0.05284822,-0.725,-0.77784824
22,-7.258816739279764,2,0.11629856,0.803,0.9192985
23,-18.16557538713902,4,-0.34643602,-0.73,-1.076436
24,-5.181559436649613,2,0.20442912,0.118,0.32242912
25,-10.0,1,0.0,0.352,0.352
26,-10.0,1,0.0,1.068,1.068
27,-10.0,1,0.0,0.721,0.721
28,-14.94591300422411,2,-0.20983732,1.634,1.4241626
29,-10.0,1,0.0,1.799,1.799
30,-1.022754984658377,4,0.38087225,1.816,2.1968722
31,-10.0,1,0.0,-0.94,-0.94
32,-7.32975410000845,2,0.11328894,0.664,0.7772889
33,-6.435213933368781,2,0.15124106,1.005,1.156241
34,-10.0,1,0.0,1.387,1.387
35,-10.0,1,0.0,1.225,1.225
36,-10.0,1,0.0,-0.41,-0.41
37,-12.535586016551768,3,-0.107575804,0.444,0.3364242
38,-0.6072047293641241,2,-0.025761515,0.236,0.21023849
39,-10.0,1,0.0,0.986,0.986
40,-7.6433533459335585,3,0.09998405,1.505,1.604984
41,-10.0,1,0.0,-0.479,-0.479
42,-5.417439191473158,2,0.19442159,0.988,1.1824216
43,-10.0,1,0.0,0.663,0.663
44,-10.0,1,0.0,0.745,0.745
45,-10.0,1,0.0,0.781,0.781
46,-10.0,1,0.0,-0.366,-0.366
47,-7.857951049601526,4,0.09087944,0.717,0.80787945
48,-10.0,1,0.0,0.895,0.895
49,0.2164468528222816,5,0.43344712,-0.315,0.11844714
50,-5.181582617416295,2,0.20442814,0.91,1.1144282
