original,readable
AD Treatment_active,AD Treatment
Alpha Blocker_active,Alpha Blocker
Analgesic_active,Pain Medication
Antidepressant_active,Antidepressant
Antihypertensive_active,Blood Pressure Med
Bone Health_active,Bone Health Med
Diabetes Medication_active,Diabetes Med
Diuretic_active,Diuretic
NSAID_active,Anti-inflammatory
No Medication_active,No Medication
Other_active,Other Medication
PPI_active,Acid Reducer
SSRI_active,SSRI Antidepressant
Statin_active,Cholesterol Med
Steroid_active,Steroid
Supplement_active,Supplement
Thyroid Hormone_active,Thyroid Hormone
