time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,time/fps,train/n_updates,train/learning_rate,train/policy_loss,train/entropy_loss,train/explained_variance,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
70,100,4.42,-4.17476288,30.703598022460938,56,99,0.0007,-9.27678108215332,-8.347576141357422,0.5912896394729614,4000,,
,,,,47.71528244018555,,199,0.0007,-4.372825622558594,-7.1970415115356445,0.440662145614624,8000,-7.4716645999999995,3.6
146,200,4.82,-2.5886373199999997,,54,,,,,,8000,,
221,300,6.16,-0.9994233999999997,38.16389465332031,54,299,0.0007,12.400256156921387,-6.328603267669678,0.8102132380008698,12000,,
,,,,47.7552604675293,,399,0.0007,18.283611297607422,-4.957565784454346,0.5354392826557159,16000,3.5640435999999993,10.0
299,400,8.25,2.2915499,,53,,,,,,16000,,
390,500,10.19,3.7945526900000006,26.294872283935547,51,499,0.0007,-2.04939603805542,-5.523940563201904,0.8102004677057266,20000,,
,,,,26.74814796447754,,599,0.0007,-9.355090141296387,-4.892928600311279,0.7467887997627258,24000,17.956405299999997,14.3
474,600,13.13,4.4290929,,50,,,,,,24000,,
549,700,14.52,7.24811144,54.557029724121094,50,699,0.0007,12.430765151977539,-4.840800762176514,0.7708109319210052,28000,,
,,,,19.53635597229004,,799,0.0007,1.8580518960952759,-3.609848737716675,0.8241499811410904,32000,9.8343764,14.4
629,800,12.84,7.45486393,,50,,,,,,32000,,
711,900,11.78,6.263989270000001,20.208860397338867,50,899,0.0007,2.748774528503418,-4.223846912384033,0.8837286904454231,36000,,
,,,,4.6213202476501465,,999,0.0007,-2.695897102355957,-2.953310489654541,0.9597100280225277,40000,15.2483179,15.1
798,1000,13.15,8.323808759999999,,50,,,,,,40000,,
885,1100,14.95,11.935557020000001,18.18118667602539,49,1099,0.0007,-1.0359669923782349,-2.4812114238739014,0.885158084332943,44000,,
,,,,14.557209968566895,,1199,0.0007,-1.3289929628372192,-2.600743532180786,0.7731877118349075,48000,11.6779337,14.8
