episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem
1,-12.426992027185419,2,-0.10296855,0.03,-0.07296855
2,-15.165641384250804,3,-0.2191596,1.811,1.5918404
3,-10.0,1,0.0,0.54,0.54
4,-10.0,1,0.0,-0.277,-0.277
5,-10.0,1,0.0,-0.012,-0.012
6,-10.0,1,0.0,-0.7,-0.7
7,-10.0,1,0.0,-1.094,-1.094
8,-10.0,1,0.0,1.255,1.255
9,-1.2828403770292063,5,0.36983776,1.005,1.3748378
10,-12.018558684261553,3,-0.08564019,0.361,0.2753598
11,-7.112126037932548,2,0.122522116,-1.845,-1.7224779
12,-8.044179709536813,2,0.08297843,-1.021,-0.9380216
13,-10.677726943634978,2,-0.028753519,1.068,1.0392464
14,-14.878924803200896,2,-0.20699525,0.135,-0.07199524
15,-4.453693899578601,2,0.23530984,1.628,1.8633099
16,-9.065552387400317,5,0.039645255,-0.027,0.012645253
17,2.457658710833833,6,0.5285337,-1.774,-1.2454664
18,-2.3241442995535087,2,0.32565898,0.999,1.324659
19,-10.0,1,0.0,-0.305,-0.305
20,-10.0,1,0.0,-1.506,-1.506
21,-10.0,1,0.0,-0.89,-0.89
22,-10.0,1,0.0,0.517,0.517
23,-10.0,1,0.0,0.242,0.242
24,-10.0,1,0.0,1.346,1.346
25,-4.867997420440689,2,0.21773243,1.387,1.6047324
26,-10.0,1,0.0,0.217,0.217
27,-10.0,1,0.0,0.316,0.316
28,-9.760816634700676,5,0.010147691,1.309,1.3191477
29,-10.0,1,0.0,0.641,0.641
30,-7.076112960774939,2,0.12405002,0.556,0.68005
31,-10.0,1,0.0,-0.478,-0.478
32,-12.35244487668771,3,-0.09980579,0.05,-0.049805783
33,-10.0,1,0.0,1.082,1.082
34,-6.35241504457418,3,0.15475392,0.093,0.24775393
35,-20.55374999123404,3,-0.4477577,-0.367,-0.8147577
36,-6.106273234585706,3,0.16519684,0.963,1.1281968
37,-4.922237604684309,3,0.21543121,1.226,1.4414312
38,-11.174981081946306,2,-0.049850225,-0.448,-0.49785024
39,-10.0,1,0.0,0.628,0.628
40,-7.235293178230884,3,0.11729658,0.503,0.6202966
41,-3.963711497530351,4,0.25609803,0.572,0.82809806
42,-10.0,1,0.0,1.423,1.423
43,-10.0,1,0.0,-0.043,-0.043
44,-10.0,1,0.0,0.028,0.028
45,-6.390410428506749,4,0.15314192,-0.926,-0.7728581
46,-9.49146947236958,2,0.021575123,-0.346,-0.32442486
47,-10.0,1,0.0,1.856,1.856
48,-8.91654501427995,2,0.045967102,1.895,1.9409671
49,-10.0,1,0.0,1.589,1.589
50,-10.0,1,0.0,3.042,3.042
