episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem
1,31.665342938154936,22,1.2517372369766235,-0.082,1.1697372198104858
2,-22.64006044715643,6,0.2995009422302246,-1.834,-1.5344990491867065
3,17.79674829915166,22,-1.2819045782089233,0.354,-0.9279045462608337
4,0.0,1,0.32260215282440186,1.411,1.7336021661758423
5,25.445999339222908,22,-2.2075700759887695,-0.455,-2.662569999694824
6,-10.0,1,0.0,1.068,1.0679999589920044
7,13.470117099583149,17,1.7366673946380615,0.895,2.631667375564575
8,-10.0,1,0.0,1.446,1.4459999799728394
9,26.16823101043701,22,0.18651193380355835,0.709,0.8955119252204895
10,18.69370063394308,22,0.6317383050918579,-0.977,-0.34526172280311584
11,17.625598318874836,22,1.032918930053711,1.302,2.334918975830078
12,11.000771164894104,4,-0.347037672996521,-1.853,-2.200037717819214
13,8.246926307678223,2,0.4223410487174988,0.927,1.3493410348892212
14,33.99937617778778,9,-0.8932732939720154,-0.991,-1.8842732906341553
15,0.0,1,0.40935420989990234,1.731,2.1403541564941406
16,0.0,1,-0.02646094560623169,0.242,0.21553905308246613
17,2.650418668985367,6,0.8963936567306519,-0.587,0.30939364433288574
18,14.918274058029056,19,-1.5979833602905273,-0.367,-1.964983344078064
19,39.318873926997185,22,0.8882442712783813,0.803,1.6912442445755005
20,-22.9480908960104,22,0.738578200340271,-0.007,0.7315781712532043
21,22.270606465637684,22,1.1678411960601807,0.839,2.0068411827087402
22,32.43525256495923,19,-1.4453967809677124,0.759,-0.6863967776298523
23,-2.411262057721615,22,-0.19065962731838226,-0.11,-0.3006596267223358
24,52.78706181049347,12,-1.2224199771881104,-0.132,-1.3544199466705322
25,25.42217855155468,22,1.1487860679626465,1.276,2.42478609085083
26,-2.8901109620928764,22,0.020846247673034668,-0.902,-0.8811537623405457
27,32.683605670928955,6,0.1279817819595337,-0.235,-0.10701820999383926
28,27.044553838670254,14,1.1357301473617554,-0.063,1.0727301836013794
29,4.794962361454964,22,0.9543449878692627,1.895,2.8493449687957764
30,40.340557888150215,22,1.0374373197555542,1.071,2.1084372997283936
31,15.382929682731628,22,2.0740408897399902,1.731,3.8050408363342285
32,18.16748447716236,22,1.1074659824371338,0.782,1.8894660472869873
33,13.331944312900305,22,0.7131483554840088,1.236,1.9491482973098755
34,38.97757810354233,22,0.47580254077911377,-0.711,-0.2351974993944168
35,33.33746910095215,6,0.35991808772087097,0.22,0.5799180865287781
36,10.0,1,0.0,-2.092,-2.0920000076293945
37,21.002758100628853,12,1.1985325813293457,-0.201,0.9975326061248779
38,1.8182280957698822,4,0.7655317783355713,-0.213,0.5525317788124084
39,50.77977529540658,22,0.9727331399917603,-0.019,0.9537331461906433
40,57.12767665833235,22,1.1461511850357056,0.648,1.7941511869430542
41,24.553171314299107,22,1.1341552734375,-0.43,0.7041552662849426
42,13.40706992149353,22,0.9329902529716492,0.208,1.1409902572631836
43,2.405521512031555,6,0.5058055520057678,-0.219,0.28680554032325745
44,10.0,1,0.0,0.39,0.38999998569488525
45,9.314360618591309,1,0.0,0.559,0.5590000152587891
46,16.102177757769823,22,-0.8539004921913147,0.099,-0.7549005150794983
47,36.62846314907074,19,-1.953924298286438,-0.344,-2.297924280166626
48,-10.0,1,0.0,0.028,0.02800000086426735
49,19.367131508886814,22,0.6060317754745483,-0.7,-0.09396824240684509
50,36.45619732141495,22,0.9883701205253601,0.034,1.0223701000213623
