episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem,mean_action_usage
1,15.327759079635143,22,0.8850152492523193,1.269,2.154015302658081,"[-0.593654215335846, -0.9752887487411499, -0.9975316524505615, -0.9997494220733643, 0.9998935461044312, -0.9997592568397522, 0.998278796672821, 0.9991998076438904, -0.9999322295188904, -0.9696130156517029, 0.9955313205718994, 0.998326301574707, -0.9994552135467529, 0.8197658658027649, 0.673821210861206, 0.059025391936302185, 0.997393012046814]"
2,-15.181293934583664,11,-1.0015671253204346,-0.188,-1.1895670890808105,"[0.9951894879341125, -0.9967305660247803, -0.6426600813865662, 0.9735405445098877, -0.5093420743942261, -0.5326429009437561, 0.7649551630020142, 0.7259740829467773, 0.1678314208984375, -0.2747526466846466, 0.4021603465080261, 0.989319384098053, -0.9435151815414429, -0.5556851029396057, -0.9963840246200562, -0.9961043000221252, 0.30103394389152527]"
3,-44.76165420562029,16,0.7404406666755676,0.641,1.3814406394958496,"[0.21688556671142578, -0.9629189968109131, -0.6512884497642517, -0.965495765209198, 0.587797999382019, 0.12514689564704895, -0.4907764792442322, 0.9933362007141113, -0.8827577233314514, -0.5396782755851746, -0.5872694253921509, 0.9936275482177734, 0.08016744256019592, -0.7652229070663452, -0.8528784513473511, -0.9747986793518066, 0.26451823115348816]"
4,-2.345613238401711,22,0.6097897887229919,0.036,0.6457898020744324,"[-0.6790246367454529, -0.34075334668159485, -0.9451518654823303, -0.9374650716781616, -0.1814262419939041, 0.9492069482803345, -0.14833945035934448, 0.9446722269058228, 0.9008572101593018, -0.6443209052085876, -0.8663709163665771, 0.8037853837013245, -0.9966602325439453, -0.9999080896377563, -0.9846343994140625, -0.9687815308570862, 0.8435917496681213]"
5,15.011265978217125,22,0.5369532108306885,2.288,2.824953317642212,"[-0.9930333495140076, -0.8459010720252991, -0.9790422320365906, -0.9983530044555664, 0.7707158923149109, 0.959094226360321, 0.9207163453102112, 0.9855165481567383, -0.6587278246879578, -0.5804739594459534, -0.9750789999961853, 0.9851837158203125, -0.9991568922996521, -0.9509449005126953, -0.04047396034002304, 0.8875961303710938, 0.9986591935157776]"
6,26.95355463027954,6,-0.1923311948776245,-1.477,-1.6693311929702759,"[0.6941609382629395, -0.9215858578681946, -0.9736416935920715, -0.9987462162971497, 0.9999954104423523, -0.7999829649925232, 0.9012236595153809, 0.9767172932624817, -0.9975662231445312, -0.9997255206108093, 0.9932565093040466, 0.9601275324821472, -0.9794206619262695, -0.9996642470359802, 0.47248080372810364, 0.7080562114715576, 0.9954667091369629]"
7,15.99431198835373,22,-0.26093530654907227,1.455,1.194064736366272,"[0.9989072680473328, -0.9926624298095703, -0.3806762397289276, 0.6808261275291443, 0.999579668045044, -0.9999638199806213, 0.3806144595146179, 0.9540599584579468, -0.9560422301292419, -0.4164532721042633, 0.9999510049819946, 0.9814542531967163, -0.9985007643699646, -0.8552631139755249, -0.7822096347808838, -0.07438667118549347, 0.9984255433082581]"
8,-9.61548601090908,14,0.3069389760494232,-0.662,-0.35506102442741394,"[0.9776644706726074, -0.9748921990394592, -0.14490287005901337, 0.9977956414222717, 0.999848484992981, 0.9356109499931335, -0.3317810595035553, 0.6511778831481934, 0.02371896244585514, -0.6829581260681152, 0.9979615807533264, 0.9375971555709839, -0.7570391893386841, -0.7792865037918091, -0.9980593323707581, -0.9999610185623169, -0.3821592330932617]"
9,35.20044888742268,22,0.8652787804603577,-1.312,-0.44672125577926636,"[-0.8394544124603271, 0.12798669934272766, -0.9160332083702087, -0.9889333844184875, 0.6023295521736145, 0.037769708782434464, 0.5300120711326599, 0.9735250473022461, -0.9783384799957275, -0.8874527215957642, 0.24510477483272552, 0.9880609512329102, -0.011084562167525291, 0.12541352212429047, 0.9016491174697876, 0.9978894591331482, 0.9514678716659546]"
10,27.993346646428108,22,0.5054411888122559,0.447,0.9524412155151367,"[0.9835430383682251, -0.611901044845581, -0.9951106905937195, -0.9233049750328064, 0.9518207311630249, -0.9998331069946289, 0.5842844843864441, 0.9611898064613342, -0.858388364315033, -0.7770273089408875, 0.948725163936615, 0.9974765181541443, -0.9870356917381287, 0.9986228346824646, -0.993853747844696, -0.9657769799232483, -0.9292891025543213]"
